ra,dec,glon,glat,elon,elat,raerr,decerr,pmra,pmdec,pmraerr,pmdecerr,mjd,deltamjd,umag,urms,uerr,uasemi,ubsemi,utheta,gmag,grms,gerr,gasemi,gbsemi,gtheta,rmag,rrms,rerr,rasemi,rbsemi,rtheta,imag,irms,ierr,iasemi,ibsemi,itheta,zmag,zrms,zerr,zasemi,zbsemi,ztheta,ymag,yrms,yerr,yasemi,ybsemi,ytheta,vrmag,vrrms,vrerr,vrasemi,vrbsemi,vrtheta,asemi,asemierr,bsemi,bsemierr,theta,thetaerr,fwhm,class_star,ebv,random_id,pix,ndet,nphot,htm9,ring256,nest4096,ndetu,nphotu,ndetg,nphotg,ndetr,nphotr,ndeti,nphoti,ndetz,nphotz,ndety,nphoty,ndetvr,nphotvr,flags,id,rmsvar,madvar,iqrvar,etavar,jvar,kvar,chivar,romsvar,nsigvar,variable10sig,parent,Vmag
146.10359039802626,-21.32179835390117,255.10039405733252,23.716096717831988,156.76191147415543,-32.70101013504944,0.043509,0.04349,-52.253628,-14.29484,97.87914,97.95016,57745.91579823019,709.0249,99.99,,9.99,,,,99.99,,9.99,,,,22.885368,0.163513,0.080176,0.410156,0.314789,103.421875,21.876326,0.264525,0.088194,0.392334,0.295166,82.21354,21.187191,0.086978,0.066591,0.490072,0.406738,132.10417,99.99,,9.99,,,,99.99,,9.99,,,,0.428784,0.017597,0.336487,0.013893,105.66406,10.100019,1.791602,0.412805,0.05686,86.38124,134095,10,10,2584321,536479,164874706,0,0,0,0,4,4,3,3,3,3,0,0,0,0,0,134095_7701,0.184272,0.165827,0.146609,0.39155,0.298373,0.794065,0.453638,1.265678,0.510896,0,0,54.48826644897461
146.07636352525506,-21.313636582237535,255.0745234438007,23.70389528797407,156.73038098548508,-32.7034530848629,0.03029,0.030329,38.97093,49.31765,123.43997,123.50122,57735.54345419939,709.0249,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,21.433413,0.140294,0.07179,0.540771,0.455029,99.1125,20.937555,0.156497,0.068763,0.489095,0.466634,31.565104,99.99,,9.99,,,,99.99,,9.99,,,,0.521393,0.013526,0.459381,0.011637,73.78223,16.066814,1.507996,0.483116,0.057183,52.314274,134095,8,8,2584321,536479,164874703,0,0,0,0,0,0,5,5,3,3,0,0,0,0,0,134095_7782,0.146581,0.20542,0.196137,0.547168,0.121165,0.886405,0.429366,1.23026,3.217891,0,0,99.97999786376953
146.080895920808,-21.311926488010496,255.07645565002375,23.70809330506531,156.73419948757808,-32.70022378746157,0.057469,0.057513,35.342396,-94.350685,108.66662,108.72993,57757.7571289438,709.0249,99.99,,9.99,,,,22.40625,,0.132324,0.605469,0.475586,6.460938,21.492285,0.195289,0.050187,0.84021,0.641357,19.941406,21.208416,0.142311,0.068304,0.732813,0.536768,42.91328,20.72073,0.025592,0.071565,0.760579,0.503337,9.831055,99.99,,9.99,,,,99.99,,9.99,,,,0.76247,0.012581,0.556528,0.009242,25.406626,21.444284,2.844351,0.022821,0.057058,58.71869,134095,13,13,2584321,536479,164874703,0,0,1,1,4,4,5,5,3,3,0,0,0,0,0,134095_7772,0.145996,0.067555,0.0573,0.605678,-0.114513,0.71173,0.326933,0.879333,-0.23615,0,0,21.85701051712036
146.08380545798872,-21.308084443858117,255.07557315711716,23.712725347837672,156.7353715476642,-32.695626413098175,0.025568,0.025568,34.592854,-0.052346,98.149025,98.2226,57735.54345419939,709.0249,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,21.013618,0.245804,0.052657,0.558008,0.500244,79.5875,20.868246,0.142457,0.058655,0.533854,0.488118,101.75521,99.99,,9.99,,,,99.99,,9.99,,,,0.54895,0.012135,0.495697,0.010847,87.90039,16.636576,1.315857,0.546761,0.056984,23.032465,134095,8,8,2584321,536479,164874714,0,0,0,0,0,0,5,5,3,3,0,0,0,0,2,134095_7755,0.213008,0.254822,0.198664,0.476287,1.056616,0.864064,0.69852,1.951021,6.304329,0,0,99.97999786376953
146.07331772117726,-21.302346206160667,255.06360093588629,23.709854183261264,156.72201692152996,-32.694180359089415,0.232178,0.232178,,,,,57827.16701938724,0.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,21.015625,,0.198242,0.937012,0.659668,138.5,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.937012,0.053802,0.659668,0.036652,138.5,48.28125,1.915039,0.009346,0.057355,41.837685,134095,1,1,2584321,536479,164874725,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,134095_15897,,,,,,,,,,0,0,99.97999786376953
146.08294004767205,-21.30246553232702,255.07060443494467,23.71612053311729,156.73187145167012,-32.6907740204389,0.037662,0.037728,-31.832302,6.309442,114.43882,114.508255,57685.36025913851,709.0249,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,21.273535,0.356433,0.092911,0.628052,0.547607,42.058594,20.817059,0.076903,0.092242,0.660156,0.572428,68.813805,99.99,,9.99,,,,99.99,,9.99,,,,0.647314,0.015211,0.5625,0.012881,58.111717,23.496078,1.293457,0.207539,0.05705,44.74162,134095,5,5,2584321,536479,164874714,0,0,0,0,0,0,2,2,3,3,0,0,0,0,2,134095_7762,0.233166,0.162159,0.138992,1.125974,0.760724,0.696818,1.039956,2.025485,2.558372,0,0,99.97999786376953
146.0781109830495,-21.29857264896811,255.06412384649985,23.715681199870076,156.72513966884165,-32.688957662008214,0.014531,0.015594,1434.0432,-10384.359,6365.0254,6332.2754,57823.73210018547,6.869838,99.99,,9.99,,,,21.171875,,0.125854,0.897949,0.723633,4.535156,99.99,,9.99,,,,19.40625,,0.019958,0.76123,0.576172,164.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.82959,0.017536,0.649902,0.013399,84.26758,55.60414,1.181885,0.473068,0.05725,8.534559,134095,2,2,2584321,536479,164874714,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,134095_15503,,,,,,,,,,0,0,67.66456748962402
146.08757939404805,-21.316517457833093,255.08480758054102,23.709262470448767,156.74314565105345,-32.702004353508755,0.014124,0.014243,-23.434448,30.050034,32.886833,33.099293,57769.35372293406,709.0249,99.99,,9.99,,,,21.723978,0.163828,0.050007,0.820801,0.518311,156.78125,20.126617,0.033564,0.012258,1.12207,0.762573,160.65625,19.472706,0.043534,0.015485,1.101074,0.790137,162.25,19.13499,0.014738,0.016166,1.007975,0.683594,156.25,99.99,,9.99,,,,99.99,,9.99,,,,1.018799,0.008005,0.695312,0.005261,159.35938,18.029902,2.9375,0.028987,0.056851,51.973152,134095,16,16,2584321,536479,164874701,0,0,4,4,4,4,5,5,3,3,0,0,0,0,3,134095_7874,0.087318,0.046331,0.047926,0.4154,0.311751,0.880011,0.315101,1.183115,0.959152,0,0,20.77153528213501
146.08498641957576,-21.31201678442536,255.07946352141846,23.710728762005093,156.73840710229743,-32.698812028707465,0.043092,0.043374,207.96785,296.22678,449.29636,451.02768,57806.98500068602,73.86216,99.99,,9.99,,,,23.181055,0.133462,0.08906,0.359985,0.315308,96.703125,22.557852,0.019095,0.072201,0.475952,0.427124,139.21875,22.140625,,0.209229,0.417969,0.359375,70.6875,21.84658,0.085972,0.105707,0.396566,0.357096,80.604164,99.99,,9.99,,,,99.99,,9.99,,,,0.409943,0.016742,0.364441,0.014699,98.04297,15.261142,1.500732,0.464203,0.056933,43.226276,134095,8,8,2584321,536479,164874703,0,0,2,2,2,2,1,1,3,3,0,0,0,0,0,134095_8896,0.091438,0.07216,0.081744,0.474679,-0.57653,0.760526,0.275364,0.646424,-0.773332,0,0,22.80336513519287
146.08802522568632,-21.312549260936052,255.08205819460204,23.71235799706109,156.74174979710574,-32.69819130389926,0.00363,0.003735,0.301164,-29.531307,8.873877,9.6457,57769.35372293406,709.0249,99.99,,9.99,,,,17.471035,0.011283,0.004199,0.871948,0.824707,153.25,17.269966,0.00678,0.002532,0.902344,0.773926,165.4375,17.15416,0.017244,0.001813,0.955762,0.809766,139.92813,17.157621,0.02214,0.002576,0.731771,0.648275,63.9987,99.99,,9.99,,,,99.99,,9.99,,,,0.879456,0.001084,0.774261,8.37E-4,135.39917,18.856405,1.069702,0.969055,0.056836,81.65233,134095,16,16,2584321,536479,164874712,0,0,4,4,4,4,5,5,3,3,0,0,0,0,3,134095_7857,0.015104,0.016677,0.013667,0.405666,-0.436751,0.766394,0.220709,0.721708,1.24353,0,0,17.34240436553955
