mag_V,mag_I,ra,dec,color,delta_V,delta_I
16.29312282295227,14.939798499999998,146.1798835,-21.2857782,1.3533243229522718,,
19.859622822952268,18.7437985,146.1803727,-21.293411,1.1158243229522675,,
18.622822822952266,17.6265985,146.1833251,-21.3234924,0.9962243229522656,,-0.16229999999999833
23.48532282295227,22.239898500000002,146.1834551,-21.2902203,1.2454243229522675,,-0.03093600000000052
21.25882282295227,19.753798500000002,146.1839427,-21.2663197,1.5050243229522664,,
23.98062282295227,23.0375985,146.1842756,-21.2861271,0.9430243229522688,0.08007167282104533,
24.651122822952267,23.483898500000002,146.1842346,-21.2747815,1.167224322952265,,
19.761522822952266,19.2757985,146.1849648,-21.2898891,0.4857243229522652,,
24.902622822952267,24.5377985,146.1846204,-21.2878162,0.3648243229522663,,
22.992422822952264,23.2952985,146.185319,-21.3194755,-0.3028756770477372,,
22.218122822952267,22.573698500000003,146.1850043,-21.2947153,-0.3555756770477352,,
23.524422822952268,23.187998500000003,146.1849501,-21.2873163,0.336424322952265,,
24.601922822952268,24.572298500000002,146.1850659,-21.2991368,0.029624322952265914,,0.028382000000000573
23.848422822952266,24.6459985,146.1852958,-21.3142747,-0.7975756770477354,,
24.64712282295227,23.4435985,146.1839378,-21.3144388,1.2035243229522692,,
22.894922822952267,24.0544985,146.183809,-21.2925172,-1.1595756770477337,,
22.468122822952267,23.237098500000002,146.1836863,-21.3019978,-0.7689756770477345,,
25.22932282295227,23.8401985,146.1834548,-21.2761131,1.38912432295227,,
15.124022822952266,13.6801985,146.1765284,-21.3122628,1.443824322952267,,
24.859822822952268,23.684998500000003,146.1834913,-21.3138175,1.174824322952265,,
22.394222822952266,21.1070985,146.182063,-21.2913389,1.2871243229522662,0.34396671829223635,
21.693922822952267,22.3813985,146.1823986,-21.2734581,-0.6874756770477326,,
23.76912282295227,23.2223985,146.1826323,-21.2901455,0.5467243229522687,,
17.260922822952267,15.6660985,146.1785204,-21.2677107,1.5948243229522667,,
23.025922822952268,21.732198500000003,146.1824799,-21.3097758,1.293724322952265,,
23.10542282295227,22.6380985,146.1822434,-21.2988648,0.467324322952269,,
25.415622822952265,24.564798500000002,146.1826848,-21.2764325,0.8508243229522634,,
24.275022822952266,23.5222985,146.1824991,-21.3094035,0.7527243229522647,,
24.980522822952267,25.7880985,146.1828815,-21.3204555,-0.8075756770477334,,
19.551622822952268,18.7439985,146.1777639,-21.2838747,0.8076243229522682,,
22.65292282295227,23.1722985,146.1818658,-21.3244469,-0.51937567704773,,
23.68352282295227,22.6244985,146.1814482,-21.3201819,1.0590243229522684,,
24.083422822952265,23.380198500000002,146.181454,-21.3096302,0.7032243229522628,,
23.901922822952265,23.547798500000003,146.1810896,-21.2770651,0.3541243229522628,,
24.217622822952265,23.435198500000002,146.1815987,-21.3155227,0.7824243229522629,,
23.094822822952267,23.7283985,146.1814206,-21.3239767,-0.6335756770477339,,
23.171022822952267,22.5046985,146.180694,-21.3097116,0.6663243229522671,,
24.498622822952264,23.1202985,146.180298,-21.2873049,1.3783243229522633,,
23.984522822952265,23.1298985,146.1802272,-21.3015088,0.8546243229522652,,
24.388922822952267,24.4172985,146.1806361,-21.2951883,-0.028375677047733916,,
25.74022282295227,24.7575985,146.1808993,-21.3046856,0.9826243229522689,,
18.305422822952266,17.1979985,146.1768503,-21.3230648,1.1074243229522658,,
25.435522822952265,25.837698500000002,146.1803534,-21.2765033,-0.4021756770477367,,
24.637422822952267,23.5198985,146.1802239,-21.3019932,1.1175243229522671,0.42053005752563166,
20.996122822952266,21.8926985,146.1798371,-21.3062771,-0.8965756770477356,,
23.653622822952265,22.729498500000002,146.1794842,-21.3048004,0.9241243229522631,,-0.2581300000000013
22.85562282295227,23.0163985,146.1799286,-21.3049827,-0.16077567704773088,,
24.22932282295227,24.3967985,146.1801444,-21.299479,-0.16747567704772948,,
25.060822822952268,24.2904985,146.1798652,-21.3039177,0.7703243229522663,,
25.385922822952267,24.247798500000002,146.1796238,-21.3002407,1.1381243229522653,,-0.09215000000000018
22.789422822952268,22.229298500000002,146.1782352,-21.2951555,0.5601243229522659,,
24.089622822952265,22.701998500000002,146.1788404,-21.3052896,1.387624322952263,,
24.71522282295227,23.4628985,146.1789783,-21.2871158,1.2523243229522691,,
20.389922822952265,18.8807985,146.1779373,-21.3087886,1.509124322952264,,
25.073622822952267,23.9447985,146.1792959,-21.3039986,1.1288243229522656,,
25.31132282295227,24.6002985,146.1789436,-21.2647246,0.7110243229522695,,
25.743122822952266,24.2815985,146.1791275,-21.2988324,1.4615243229522648,,
23.620422822952264,25.0344985,146.1787386,-21.2718964,-1.4140756770477374,,
24.24582282295227,24.0607985,146.1785927,-21.2963007,0.18502432295226967,,
24.690422822952264,23.816098500000003,146.1787831,-21.3170863,0.8743243229522619,,
23.31882282295227,24.7770985,146.1783586,-21.2727247,-1.4582756770477303,,
21.525822822952264,21.5242985,146.1765886,-21.294808,0.0015243229522639012,,
18.450922822952265,18.5865985,146.1770666,-21.314672,-0.1356756770477361,,
23.178322822952268,23.7524985,146.1780419,-21.2930138,-0.5741756770477338,,
20.518622822952267,20.3750985,146.177285,-21.3166503,0.14352432295226691,,
21.65182282295227,21.9923985,146.1774916,-21.3135211,-0.34057567704773106,,
21.84342282295227,22.142398500000002,146.1763546,-21.2857594,-0.2989756770477321,,
22.86842282295227,23.3995985,146.1775634,-21.2910346,-0.5311756770477309,,
23.17432282295227,24.247598500000002,146.1775797,-21.2936502,-1.0732756770477323,,
25.086022822952266,24.3825985,146.1774585,-21.289741,0.7034243229522659,0.31189081344604475,
25.55872282295227,25.1521985,146.1776055,-21.3105166,0.4065243229522686,,
23.989122822952268,23.0667985,146.1764215,-21.2676387,0.9223243229522673,,1.0007720000000013
20.469422822952268,20.8377985,146.1761973,-21.2935197,-0.3683756770477338,,
24.542322822952265,24.2252985,146.1768443,-21.283304,0.317024322952264,,
25.382522822952268,24.2621985,146.1768049,-21.3022391,1.1203243229522677,,
23.683822822952266,24.3809985,146.1767232,-21.296868,-0.6971756770477349,,
25.330822822952264,25.0731985,146.1772155,-21.3181062,0.2576243229522639,,
22.294322822952267,21.6443985,146.1759187,-21.3043458,0.6499243229522662,,
24.08782282295227,23.0467985,146.1761929,-21.3161469,1.0410243229522678,,
21.52212282295227,20.6022985,146.1751081,-21.2644809,0.9198243229522696,,
23.74152282295227,23.2225985,146.1760847,-21.324423,0.5189243229522695,,
21.711822822952264,20.8535985,146.175245,-21.3136384,0.8582243229522639,,
23.352322822952267,22.6887985,146.1750844,-21.2857241,0.6635243229522665,,
23.230222822952264,22.4314985,146.1748926,-21.267136,0.798724322952264,,
24.79932282295227,24.0544985,146.1755063,-21.2795989,0.7448243229522689,,
25.41192282295227,24.187998500000003,146.1758607,-21.3008244,1.2239243229522678,,
23.96602282295227,23.185198500000002,146.1755612,-21.3219064,0.7808243229522667,,0.17723200000000006
23.982822822952265,22.886298500000002,146.1749862,-21.2796738,1.0965243229522628,,-0.3258170000000007
24.895722822952266,23.5058985,146.1757035,-21.3203714,1.3898243229522649,,
24.748322822952268,24.419898500000002,146.1752948,-21.2776632,0.32842432295226587,,
21.206522822952266,21.5239985,146.1749276,-21.3113878,-0.31747567704773516,,
19.238822822952265,18.0209985,146.1733573,-21.2989463,1.2178243229522643,,
17.86462282295227,16.5110985,146.1714725,-21.2747504,1.3535243229522713,,
24.143222822952268,23.2801985,146.1743741,-21.280169,0.8630243229522669,,
25.978322822952265,24.1507985,146.1744587,-21.2752353,1.8275243229522644,,
24.94872282295227,24.6052985,146.1746891,-21.2942829,0.34342432295227,,
23.09962282295227,22.2799985,146.1728577,-21.2790241,0.8196243229522686,,-0.12279299999999971
24.540022822952267,24.428998500000002,146.1746339,-21.2913156,0.1110243229522645,,
25.992322822952268,25.5804985,146.1748848,-21.3188129,0.4118243229522669,,
22.314822822952266,22.0481985,146.1697891,-21.3241249,0.26662432295226424,,
23.138522822952268,22.6855985,146.1706698,-21.3150669,0.45292432295226703,,
25.235222822952267,24.619498500000002,146.1736566,-21.2824799,0.6157243229522642,,
16.250422822952267,14.899898499999999,146.169794,-21.3225531,1.3505243229522677,,
21.15272282295227,20.2381985,146.1724537,-21.3075805,0.9145243229522713,,
22.495922822952267,21.1190985,146.172711,-21.3162615,1.3768243229522668,,
25.59102282295227,25.8166985,146.1735073,-21.302175,-0.2256756770477324,,
23.635822822952264,22.880198500000002,146.1725116,-21.2949867,0.7556243229522615,,
25.34492282295227,23.9831985,146.1730025,-21.3245002,1.36172432295227,,
25.810822822952268,25.372598500000002,146.1734727,-21.3190985,0.43822432295226577,,
25.968522822952266,23.9721985,146.1728248,-21.3216287,1.9963243229522654,,
